idListaCobro,idCredito,consecutivoCobro,montoCobrar,montoCobrado,fechaCobroBanco,IdBanco_Credito,idEmisora,IdBanco_Emisora,TipoEnvio,IdRespuestaBanco,Descripcion,Status,idBanco,fechaEnvioCobro,transCount,transSuccess,transResidual,pagoAnterior,ratio_cobrado_cobrar,residual_cobrar,Costo,residualAnterior,ratioAnterior
156277,9872,41468078,969.2,0.0,,2,2,2,CUENTA,4,Cuenta Insuficiencia Fondos,reintento,2,2025-10-01,1,0.0,1.0,0.0,0.0,969.2,1.75,0.0,0.0
156311,9872,41483305,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,2025-10-01,2,0.0,2.0,0.0,0.0,969.2,1.75,0.0,0.0
156333,9872,41496438,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,2025-10-01,3,0.0,3.0,0.0,0.0,969.2,1.75,0.0,0.0
156378,9872,41524210,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,4,0.0,4.0,0.0,0.0,969.2,1.75,0.0,0.0
156424,9872,41542181,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,5,0.0,5.0,0.0,0.0,969.2,1.75,0.0,0.0
156458,9872,41558280,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,6,0.0,6.0,0.0,0.0,969.2,1.75,0.0,0.0
156498,9872,41578001,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,7,0.0,7.0,0.0,0.0,969.2,1.75,0.0,0.0
156525,9872,41593527,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,8,0.0,8.0,0.0,0.0,969.2,1.75,0.0,0.0
156566,9872,41613223,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,9,0.0,9.0,0.0,0.0,969.2,1.75,0.0,0.0
156602,9872,41641011,969.2,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,10,0.0,10.0,0.0,0.0,969.2,1.75,0.0,0.0
156625,9872,41656948,484.6,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,11,0.0,11.0,0.0,0.0,484.6,1.75,0.0,0.0
156692,9872,41684150,484.6,0.0,,2,2,2,CUENTA,4,Cuenta Insuficiencia Fondos,reintento,2,,12,0.0,12.0,0.0,0.0,484.6,1.75,0.0,0.0
156701,9872,41685860,484.6,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,13,0.0,13.0,0.0,0.0,484.6,1.75,0.0,0.0
156711,9872,41688488,484.6,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,14,0.0,14.0,0.0,0.0,484.6,1.75,0.0,0.0
156727,9872,41691792,484.6,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,15,0.0,15.0,0.0,0.0,484.6,1.75,0.0,0.0
156736,9872,41694545,484.6,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,16,0.0,16.0,0.0,0.0,484.6,1.75,0.0,0.0
156743,9872,41700604,484.6,0.0,,2,2,2,CUENTA,4,Cuenta Insuficiencia Fondos,reintento,2,,17,0.0,17.0,0.0,0.0,484.6,1.75,0.0,0.0
156749,9872,41702921,484.6,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,18,0.0,18.0,0.0,0.0,484.6,1.75,0.0,0.0
156274,10983,41465311,2006.34,2006.34,10/01/2025,72,12,72,TRADICIONAL,0,Domiciliacion Exitosa,reintento,72,2025-10-01,1,1.0,0.0,0.0,1.0,0.0,2.5,0.0,0.0
157632,10983,42151212,2006.34,0.0,,72,12,72,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,72,2025-11-02,2,1.0,1.0,2006.34,0.0,2006.34,2.5,2006.34,1.0
156277,30466,41467690,1607.41,0.0,,2,2,2,CUENTA,4,Cuenta Insuficiencia Fondos,reintento,2,2025-10-01,1,0.0,1.0,0.0,0.0,1607.41,1.75,0.0,0.0
156311,30466,41483306,1607.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,2025-10-01,2,0.0,2.0,0.0,0.0,1607.41,1.75,0.0,0.0
156333,30466,41496439,1607.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,2025-10-01,3,0.0,3.0,0.0,0.0,1607.41,1.75,0.0,0.0
156378,30466,41524211,1607.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,4,0.0,4.0,0.0,0.0,1607.41,1.75,0.0,0.0
156424,30466,41542182,1607.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,5,0.0,5.0,0.0,0.0,1607.41,1.75,0.0,0.0
156458,30466,41558281,1607.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,6,0.0,6.0,0.0,0.0,1607.41,1.75,0.0,0.0
156498,30466,41578002,1607.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,7,0.0,7.0,0.0,0.0,1607.41,1.75,0.0,0.0
156525,30466,41593528,1607.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,8,0.0,8.0,0.0,0.0,1607.41,1.75,0.0,0.0
156566,30466,41613224,1607.41,0.0,,2,5,2,TRADICIONAL,4,Cuenta Insuficiencia Fondos,reintento,2,,9,0.0,9.0,0.0,0.0,1607.41,1.75,0.0,0.0
